word,freq,weighted_degree
indicates,45,180
indicating,3,12
indistinguishable,24,48
individual,18,54
individuals,6,24
inducing,3,12
inequality,6,6
inertial,15,54
inevitability,3,12
inference,45,45
inflated,3,12
inflationary,6,15
influence,3,12
information,54,174
information-theoretic,3,12
informational,3,12
inhabit,3,12
inhibitory,3,3
initial,15,51
input,6,24
instability,3,12
institutional,24,48
integrates,3,12
integrating,3,12
integration,45,45
intelligence,54,111
intended,3,12
intensity,3,12
intentionality,24,48
interacting,180,720
interaction,6,18
interactions,3,6
interacts,3,12
interference,9,18
interferometer,3,3
interferometry,9,24
internal,6,24
interpretability,24,48
interpretation,54,81
interpreted,3,12
interstellar,6,15
interval,6,6
intimately,3,12
intrinsic,3,12
introduce,3,12
introduced,3,12
introduces,6,24
introducing,6,24
intuition,3,12
invalidate,3,12
invariance,42,120
involve,3,12
involves,180,720
ionization,6,18
irreversibility,9,15
irreversible,12,48
isolated,3,3
isomorphism,45,45
isotope,3,3
issue,180,720
item,6,24
items,12,48
itself,15,54
jarzynski,3,3
jeans,6,15
joule,3,3
judgment,6,18
k_b,18,57
kelvin,3,3
kennedy-thorndike,6,15
kilometers,3,12
kinematic,6,24
kinematics,3,3
kinetic,3,12
knowledge,51,99
landauer,9,18
landauers,6,24
landmarks,3,12
language,30,72
large,24,48
large-scale,3,3
larger,6,24
laser,3,3
lateral,3,3
law,39,126
laws,18,66
lead,183,732
leading,33,132
leads,228,912
least,3,12
leaving,3,12
led,3,12
length,3,12
lensing,3,3
less,3,12
letter-number,3,3
level,6,24
levels,6,24
life,12,36
lifespan,6,15
lifetime,3,3
light,24,75
lightcone,9,15
limit,39,120
limited,3,12
limits,3,12
line,6,6
lines,3,12
linked,180,720
linking,9,36
liouville,3,3
literature,3,6
lithium,6,15
lithium-7,12,36
living,3,12
llm,12,48
ln2,6,15
lnp_i,3,12
lnw,6,18
load,6,15
local,6,24
locally,3,12
logical,69,141
long,3,12
long-term,9,30
loop,12,39
lorentz,24,60
lorentz-covariant,3,12
loschmidt,15,33
loss,3,12
loudness,3,12
low,6,21
low-entropy,9,36
low-metallicity,3,3
low-span,3,12
low-temperature,3,12
lower,6,24
lower-level,3,12
luminiferous,3,12
lyman-alpha,3,3
macroscopic,9,36
macrostates,3,12
made,180,720
magical,6,24
maintain,6,24
maintained,3,12
maintenance,6,24
makes,3,12
marginally,3,12
mass,42,135
master,3,3
match,3,12
material,9,36
mathematical,9,36
mathematics,3,12
matrices,6,15
matter,33,117
maximum,6,24
maxwell,15,30
maxwell-boltzmann,3,3
maxwells,12,48
meaning,3,12
meaningful,3,12
means,39,156
measurable,45,132
measure,6,24
measured,9,36
measurement,30,72
measurements,21,84
measuring,9,36
mechanical,3,12
mechanics,18,66
mechanism,51,60
mechanisms,180,720
medium,12,39
memory,60,219
merely,6,24
merger,3,6
meta-analysis,3,12
metabolism,6,6
metal-poor,12,39
metallicity,9,27
metals,3,12
method,3,3
methodological,24,48
metric,12,36
michelson-morley,6,15
microcanonical,3,3
microscopic,6,15
microstate,6,12
microstates,9,36
microwave,3,12
miller,12,39
millers,15,60
minimal,3,12
minimum,3,12
minkowski,3,3
minutes,3,12
misinterpretation,3,12
mixes,3,12
mixing,6,15
modalities,3,12
model,48,108
models,30,66
modern,6,15
modification,6,15
modify,3,12
modulation,3,3
module,6,15
molecular,21,75
monitoring,3,12
monotonically,24,48
months,3,12
motion,6,24
motivated,3,12
motivation,3,12
moves,3,12
moving,3,12
mu_zero,12,27
multiple,204,810
multiverse,3,3
muon,3,3
n-back,3,3
navigation,3,12
near,6,24
nearly,3,12
necessarily,18,72
necessary,105,237
necessity,3,12
negative,3,12
negatively,24,48
nesting,3,3
net,3,12
network,3,3
neural,36,72
neuroimaging,3,12
neurotypical,3,12
neutrino,9,21
neutron,6,6
neutron-to-proton,6,15
neutrons,3,12
new,3,12
nist,3,3
nitrogen,6,24
non-chunkable,3,12
non-equilibrium,3,6
non-inertial,6,15
non-representative,3,3
non-trivial,183,732
nonzero,3,12
novel,24,48
novice,3,12
nuclear,18,60
nucleosynthesis,45,138
null,12,39
number,33,117
object,9,21
objection,3,3
objects,15,60
observable,72,153
observational,12,39
observations,189,756
observed,9,36
occur,3,12
older,6,24
omega_b,6,12
omitted,3,12
ones,3,12
ongoing,3,12
onset,3,12
opacity,3,3
open,3,12
operational,3,12
operations,3,12
operator,3,6
operators,3,12
optical,6,15
optically,3,12
optimizing,24,48
orbital,3,12
orchestrates,3,12
order,6,15
ordering,3,3
organisms,3,12
organization,3,12
organized,3,12
origin,3,3
original,9,36
originally,3,12
oscillation,12,18
oscillations,3,12
out,3,12
outperforms,24,48
outputs,24,48
overestimate,3,3
overestimates,3,12
overgeneralization,3,12
own,3,12
oxygen,6,24
p300,3,3
p_i,3,12
pair,3,6
pairs,3,12
paradigm,6,6
paradigms,6,24
paradox,9,18
paradoxical,3,12
parameter,15,60
parameters,3,12
parser,3,3
parsing,3,12
particle,36,111
particles,6,24
particularly,3,12
partition,3,6
past,3,3
patch,6,24
paths,3,12
peak,3,6
penrose,6,6
perceives,3,12
perfectly,3,12
perform,3,12
performance,27,60
periodically,3,12
permeability,3,12
permeated,3,12
permittivity,6,15
perpendicular,3,12
pfc,3,3
phase,9,21
philosophically,3,12
phonological,12,39
phosphorus,3,12
photometric,3,3
photon,6,15
photon-baryon,3,3
photon-photon,3,3
photons,3,12
photosynthesis,3,6
phrase,6,24
physical,15,60
physics,33,120
physiological,24,48
pieces,3,12
pitch,3,12
placebo,24,48
planck,12,30
plasma,6,15
plateau,3,12
plates,3,12
player,3,12
plus,3,12
poincar,9,18
point,9,36
polarization,6,15
popular,3,12
population,15,30
populations,3,12
position,9,30
position-dependent,3,12
positional,3,12
possibility,3,12
possible,6,24
postulate,6,18
potentially,3,12
power,9,30
practical,3,12
precise,9,36
precisely,9,36
precision,12,48
predator,3,3
predators,3,12
predict,30,72
prediction,15,51
predictions,9,36
predictive,3,12
predicts,9,36
preferable,24,48
preferred,9,27
prefrontal,12,30
preregistered,3,12
prerequisite,24,48
presentations,183,732
presented,6,24
presents,3,9
preserve,3,12
pressure,33,75
prevailed,3,12
prevented,3,12
previous,3,12
prey,3,12
prigogine,3,3
primacy,3,3
primarily,27,60
primary,3,12
priming,3,3
primordial,36,123
principle,39,120
principles,3,12
proactive,3,3
probabilistic,30,72
probability,9,36
problem,15,42
process,18,54
processes,6,24
processing,12,48
produce,3,12
produced,9,36
produces,30,72
production,6,9
products,3,12
profound,3,12
progressive,9,36
progressively,3,12
propagate,3,12
propagates,3,12
propagation,15,51
proper,189,747
properly,3,12
properties,3,12
proposals,3,12
propose,3,12
proposed,3,12
proton-proton,6,15
protons,3,12
proves,3,12
provide,9,36
provided,6,24
provides,12,48
psychology,12,48
pure,15,51
purports,3,12
qualification,180,720
qualifier,12,48
quantifies,3,12
quantitative,6,24
quantum,66,195
quasar,6,18
question,6,24
r-process,3,3
radiation,21,48
radically,3,12
range,9,36
rare,3,3
rate,18,54
rates,9,36
ratio,24,78
ratios,3,12
raven,3,3
ravens,3,12
raw,3,12
ray,3,3
reach,3,12
reaction,9,27
reactions,3,12
real,6,24
recall,12,39
recency,3,3
recombination,6,15
recurrence,24,51
redshift,6,6
reduces,3,12
reduction,3,12
reference,9,30
refined,3,12
reflect,6,24
reflecting,3,12
reflects,9,36
refractive,12,33
region,6,15
regions,15,54
rehearsal,21,66
rehearsal-mediated,3,12
reionization,3,3
relation,6,15
relationship,6,24
relative,9,36
relatively,3,12
relativistic,18,51
relativity,18,60
relevance,24,48
relevant,180,720
reliable,24,48
reliably,9,36
rely,3,12
remains,3,12
remembers,3,12
replication,51,15
replications,3,12
reported,3,12
reporting,3,12
represent,3,12
representation,27,51
representational,3,12
representative,3,12
represents,15,60
reproducibility,24,48
require,9,36
required,6,24
requirement,6,24
requires,411,1587
requiring,3,12
researcher,3,12
reservoir,6,15
resistance,3,12
resolution,3,6
resolved,3,12
resource,3,3
respect,3,12
rest,3,12
restricted,3,12
rests,3,12
result,21,75
resulting,21,84
results,189,756
retain,3,12
retrievable,3,12
retrieval,6,15
retrieval-augmented,24,48
retroactive,3,3
return,3,12
reveal,3,12
revealing,183,732
reveals,48,192
reversal,6,24
reverse,3,12
reversibility,3,3
reversible,3,12
review,3,12
revision,6,15
rhythm,3,3
rich,3,12
rigorously,3,12
robustly,3,12
role,3,12
root,3,12
rotating,3,12
routinely,3,12
ruling,3,12
s-process,3,3
saha,3,3
sample,3,3
satellite,6,15
saturation,3,12
scale,9,27
scaling,24,48
scattering,6,6
scenario,3,6
schema,3,3
science,24,48
scope,6,24
scrutiny,6,24
searched,3,12
seeding,3,12
selecting,3,12
selection,9,18
self-gravitating,6,24
semantic,24,48
sense,6,24
sensitive,6,24
sensory,3,12
sentence,9,18
sentences,6,24
separate,3,12
separates,3,12
separation,6,15
separations,3,12
sequencing,3,3
serial,3,6
serves,6,24
several,183,732
shannon,9,21
shannons,12,48
shift,3,3
shifts,3,12
short-term,6,15
show,3,12
shown,6,24
shows,51,204
signal,30,72
signaling,3,12
significant,9,36
significantly,3,12
simulation,3,12
simulations,3,12
simultaneous,6,24
simultaneously,9,30
single,9,36
sites,3,12
sitter,3,3
situating,45,90
situation,3,12
sizes,3,12
sketchpad,6,15
sky,6,21
slightly,3,12
sloan,6,18
smaller,3,12
solar,3,12
sole,3,12
sorting,3,12
source,3,12
space,6,9
spaced,3,12
spacelike,12,30
spacetime,18,54
span,12,24
span-comprehension,3,3
spans,3,12
spatial,6,15
special,9,30
species,6,18
specific,195,780
specificity,3,3
spectra,3,12
spectral,3,3
spectroscopic,21,57
spectroscopy,3,12
spectrum,9,30
speed,30,96
split,3,12
spontaneous,3,3
spontaneously,6,24
spreading,3,12
square,3,12
squared,3,12
standard,207,804
standpoint,45,135
star,9,12
star-forming,3,9
stars,18,72
starting,3,12
state,27,93
stated,3,12
statement,9,27
statistical,33,105
status,3,12
steady,3,6
stellar,51,162
sternberg,3,3
stimuli,3,12
storage,18,63
store,3,3
stosszahlansatz,9,24
straightforward,3,12
strategies,6,24
strategy,6,15
strengths,3,12
strict,3,12
strictly,6,24
strongly,9,36
structural,57,93
structure,84,159
studies,3,12
subjective,24,48
subjects,9,36
subsequent,6,24
subsequently,6,24
substantially,3,12
subsystem,3,12
subvocal,3,12
sufficient,48,57
sufficiently,3,12
suggesting,3,12
suggests,12,48
sulfur,3,12
sum,3,12
superluminal,3,12
supernova,9,18
support,3,12
supported,3,12
suppression,12,30
surface,3,3
surrounding,3,12
surroundings,9,36
survey,12,24
surveys,3,12
sustain,3,12
sustained,9,27
symmetric,6,24
symmetry,12,30
synaptic,3,3
synchrotron,3,3
syntactic,30,63
syntactically,3,12
synthesis,9,27
system,39,141
systematic,6,15
systematically,33,84
systematics,3,12
systems,24,96
szilard,6,15
tachyonic,3,3
task,15,36
tasks,33,84
technically,3,12
techniques,6,24
technology,3,12
temperature,6,15
temperatures,3,12
temporal,3,12
tendency,3,12
tends,6,24
tension,3,12
tensor,6,18
term,3,12
test,51,63
testable,3,12
tested,3,12
thalamic,3,3
theorem,9,18
theoretical,189,756
theory,45,156
thereby,33,132
thermal,15,60
thermodynamic,27,78
thermodynamically,3,12
thermodynamics,18,48
theta,3,3
thirty-two,3,12
though,6,24
thought,3,12
thresholds,24,48
time,24,51
time-reversal,15,51
time-reversed,3,12
timelike,6,15
times,30,120
timing,3,12
together,186,744
token,3,12
total,9,36
toward,6,24
trace,183,732
tracking,12,33
trained,24,48
trajectory,9,27
transformation,9,27
transitions,6,24
transmission,3,12
travel,6,24
traveling,3,12
triple-alpha,6,15
truly,3,12
truth,3,6
turn,3,12
type,3,3
types,3,12
uncertainties,3,12
uncertainty,6,15
unconditional,3,12
uncorrelated,3,12
undergone,3,12
undermines,3,12
underpin,180,720
understanding,12,48
uniformly,3,12
unit,12,39
universal,9,33
universally,3,12
universe,42,159
unobservable,3,3
unprocessed,3,12
unresolved,3,12
use,3,12
used,3,12
uses,3,12
using,3,12
utility,3,12
vacuum,45,132
valid,3,12
validated,3,12
validity,3,3
value,3,12
variance,6,6
variation,21,66
varies,6,24
vary,3,12
vastly,3,12
vector,24,48
velocities,6,24
velocity,15,42
verbal,9,36
verification,24,48
versus,3,12
violate,9,36
violating,3,12
violation,18,54
virtual,6,18
viscous,6,15
visual,3,12
visuospatial,9,27
volume,6,18
wave,12,39
wave-particle,3,3
wavelength,3,3
weak,6,18
weaver,3,12
web,3,3
well-defined,3,9
well-supported,180,720
whatever,3,12
whenever,3,12
whole,3,12
whose,9,36
why,3,12
wide,3,12
word,3,12
words,3,12
work,3,12
working,45,174
world,3,12
worth,3,12
woven,3,12
yielding,3,12
young,6,21
younger,3,12
zeno,3,6
zermelo,3,3
