word1,word2,weight,weight_alpha,weight_beta,curvature
boundary,failure,45,0,45,-0.985481
alternative,interpretation,45,0,45,-1.0
analogy,cross-domain,45,0,45,-1.0
bridging,concept,45,0,45,-1.0
convergent,framework,45,0,45,-1.0
isomorphism,structural,45,0,45,-1.0
conceptual,integration,45,0,45,0.0
memory,working,42,39,3,-0.436893
entropy,increase,30,30,0,-0.730061
bang,big,27,21,6,-0.319149
claim,model,24,24,0,-0.985378
claim,requires,21,21,0,-0.910776
information,theory,18,15,3,-0.714286
black,hole,18,6,12,-0.304348
dark,matter,18,15,3,-0.576923
particle,physics,15,12,3,-0.671642
measurable,produces,15,15,0,-0.655172
capacity,limit,15,12,3,-0.822581
capacity,memory,15,15,0,-0.783439
fraction,mass,15,12,3,-0.717949
model,standard,15,9,6,-0.959184
frame,inertial,12,9,3,-0.631579
boundary,condition,12,9,3,-0.966273
index,refractive,12,6,6,-0.285714
null,result,12,9,3,-0.6
gravity,quantum,12,6,6,-0.893333
loop,phonological,12,9,3,-0.333333
articulatory,suppression,12,6,6,-0.333333
capacity,working,12,12,0,-0.861111
observable,universe,12,12,0,-0.708333
baryonic,matter,12,9,3,-0.708333
helium,mass,12,12,0,-0.813953
big,nucleosynthesis,12,9,3,-0.828571
bang,nucleosynthesis,12,9,3,-0.746479
baryon-to-photon,ratio,12,9,3,-0.677419
nucleosynthesis,stellar,12,12,0,-0.826087
helium,hydrogen,12,12,0,-0.588235
energy,free,12,6,6,-0.78125
cost,entropy,12,12,0,-0.904762
demon,maxwell,12,3,9,-0.466667
claim,large,12,12,0,-0.986874
claim,language,12,12,0,-0.99348
language,large,12,12,0,-0.5
large,models,12,12,0,-0.733333
language,models,12,12,0,-0.578947
exhibit,language,12,12,0,-0.833333
exhibit,models,12,12,0,-0.652174
emergent,models,12,12,0,-0.733333
emergent,exhibit,12,12,0,-0.6
capabilities,exhibit,12,12,0,-0.8
capabilities,emergent,12,12,0,-0.333333
emergent,explicitly,12,12,0,-0.970149
capabilities,explicitly,12,12,0,-0.940299
capabilities,trained,12,12,0,-0.666667
explicitly,trained,12,12,0,-0.940299
explicitly,requires,12,12,0,-0.987196
requires,trained,12,12,0,-0.970205
careful,trained,12,12,0,-0.969231
claim,placebo,12,12,0,-0.986874
claim,effect,12,12,0,-0.993512
effect,placebo,12,12,0,-0.578947
placebo,produces,12,12,0,-0.75
effect,produces,12,12,0,-0.652174
effect,measurable,12,12,0,-0.878788
physiological,produces,12,12,0,-0.75
measurable,physiological,12,12,0,-0.692308
changes,measurable,12,12,0,-0.866667
changes,physiological,12,12,0,-0.5
independent,physiological,12,12,0,-0.75
changes,independent,12,12,0,-0.6
belief,changes,12,12,0,-0.75
belief,independent,12,12,0,-0.5
independent,requires,12,12,0,-0.985321
belief,requires,12,12,0,-0.970205
belief,careful,12,12,0,-0.969231
claim,retrieval-augmented,12,12,0,-0.986874
claim,generation,12,12,0,-0.993437
generation,retrieval-augmented,12,12,0,-0.333333
consistently,retrieval-augmented,12,12,0,-0.75
consistently,generation,12,12,0,-0.5
generation,outperforms,12,12,0,-0.666667
consistently,outperforms,12,12,0,-0.5
consistently,fine-tuning,12,12,0,-0.75
fine-tuning,outperforms,12,12,0,-0.333333
factual,outperforms,12,12,0,-0.666667
factual,fine-tuning,12,12,0,-0.333333
fine-tuning,tasks,12,12,0,-0.777778
factual,tasks,12,12,0,-0.555556
factual,requires,12,12,0,-0.985102
requires,tasks,12,12,0,-0.970856
careful,tasks,12,12,0,-0.970588
claim,neural,12,12,0,-0.98696
claim,scaling,12,12,0,-0.993437
neural,scaling,12,12,0,-0.5
laws,neural,12,12,0,-0.789474
laws,scaling,12,12,0,-0.466667
predict,scaling,12,12,0,-0.75
laws,predict,12,12,0,-0.526316
laws,performance,12,12,0,-0.764706
performance,predict,12,12,0,-0.555556
improvements,predict,12,12,0,-0.75
improvements,performance,12,12,0,-0.428571
compute,performance,12,12,0,-0.714286
compute,improvements,12,12,0,-0.333333
beyond,improvements,12,12,0,-0.764706
beyond,compute,12,12,0,-0.529412
compute,current,12,12,0,-0.777778
beyond,current,12,12,0,-0.652174
beyond,thresholds,12,12,0,-0.764706
current,thresholds,12,12,0,-0.555556
current,requires,12,12,0,-0.985428
requires,thresholds,12,12,0,-0.970205
careful,thresholds,12,12,0,-0.969231
claim,optimizing,12,12,0,-0.986874
claim,syntactic,12,12,0,-0.99183
optimizing,syntactic,12,12,0,-0.448276
fluency,optimizing,12,12,0,-0.666667
fluency,syntactic,12,12,0,-0.448276
llm,syntactic,12,12,0,-0.724138
fluency,llm,12,12,0,-0.333333
fluency,outputs,12,12,0,-0.666667
llm,outputs,12,12,0,-0.333333
llm,systematically,12,12,0,-0.777778
outputs,systematically,12,12,0,-0.555556
degrades,outputs,12,12,0,-0.666667
degrades,systematically,12,12,0,-0.555556
semantic,systematically,12,12,0,-0.777778
degrades,semantic,12,12,0,-0.333333
degrades,relevance,12,12,0,-0.666667
relevance,semantic,12,12,0,-0.333333
requires,semantic,12,12,0,-0.985102
relevance,requires,12,12,0,-0.970205
careful,relevance,12,12,0,-0.969231
claim,intelligence,12,12,0,-0.974194
best,claim,12,12,0,-0.993437
best,intelligence,12,12,0,-0.644444
defined,intelligence,12,12,0,-0.868852
best,defined,12,12,0,-0.6
best,capacity,12,12,0,-0.921569
capacity,defined,12,12,0,-0.864407
defined,generalize,12,12,0,-0.818182
capacity,generalize,12,12,0,-0.811321
capacity,novel,12,12,0,-0.921569
generalize,novel,12,12,0,-0.428571
domains,generalize,12,12,0,-0.733333
domains,novel,12,12,0,-0.384615
novel,requires,12,12,0,-0.985102
domains,requires,12,12,0,-0.970315
careful,domains,12,12,0,-0.969466
claim,consciousness,12,12,0,-0.986874
consciousness,requires,12,12,0,-0.970205
consciousness,subjective,12,12,0,-0.666667
requires,subjective,12,12,0,-0.955307
experience,requires,12,12,0,-0.955307
experience,subjective,12,12,0,-0.333333
necessary,subjective,12,12,0,-0.816092
experience,necessary,12,12,0,-0.724138
condition,experience,12,12,0,-0.761194
necessary,requires,12,12,0,-0.943333
condition,requires,12,12,0,-0.937931
careful,condition,12,12,0,-0.966997
claim,knowledge,12,12,0,-0.97411
claim,graph,12,12,0,-0.993522
graph,knowledge,12,12,0,-0.719298
fundamentally,knowledge,12,12,0,-0.822222
fundamentally,graph,12,12,0,-0.636364
graph,representation,12,12,0,-0.804878
fundamentally,representation,12,12,0,-0.448276
fundamentally,vector,12,12,0,-0.714286
representation,vector,12,12,0,-0.36
embedding,representation,12,12,0,-0.68
embedding,vector,12,12,0,-0.333333
requires,vector,12,12,0,-0.985102
embedding,requires,12,12,0,-0.970205
careful,embedding,12,12,0,-0.969231
claim,epistemic,12,12,0,-0.986874
certainty,claim,12,12,0,-0.993437
certainty,epistemic,12,12,0,-0.333333
epistemic,probabilistic,12,12,0,-0.75
certainty,probabilistic,12,12,0,-0.5
certainty,confidence,12,12,0,-0.733333
confidence,probabilistic,12,12,0,-0.578947
incommensurable,probabilistic,12,12,0,-0.75
confidence,incommensurable,12,12,0,-0.466667
concepts,confidence,12,12,0,-0.97037
concepts,incommensurable,12,12,0,-0.939394
incommensurable,requires,12,12,0,-0.985102
concepts,requires,12,12,0,-0.979408
careful,concepts,12,12,0,-0.984
claim,interpretability,12,12,0,-0.986874
claim,prerequisite,12,12,0,-0.993437
interpretability,prerequisite,12,12,0,-0.333333
deploying,interpretability,12,12,0,-0.666667
deploying,prerequisite,12,12,0,-0.333333
high-stakes,prerequisite,12,12,0,-0.666667
deploying,high-stakes,12,12,0,-0.333333
decisions,deploying,12,12,0,-0.666667
decisions,high-stakes,12,12,0,-0.333333
high-stakes,requires,12,12,0,-0.985102
decisions,requires,12,12,0,-0.970205
careful,decisions,12,12,0,-0.969231
claim,reproducibility,12,12,0,-0.986874
claim,crisis,12,12,0,-0.99183
crisis,reproducibility,12,12,0,-0.448276
reproducibility,science,12,12,0,-0.666667
crisis,science,12,12,0,-0.448276
crisis,primarily,12,12,0,-0.757576
primarily,science,12,12,0,-0.428571
methodological,science,12,12,0,-0.666667
methodological,primarily,12,12,0,-0.428571
failure,primarily,12,12,0,-0.843137
failure,methodological,12,12,0,-0.659574
methodological,requires,12,12,0,-0.985102
failure,requires,12,12,0,-0.917857
careful,failure,12,12,0,-0.971731
claim,decentralized,12,12,0,-0.980312
claim,verification,12,12,0,-0.986874
decentralized,verification,12,12,0,-0.333333
decentralized,knowledge,12,12,0,-0.414634
knowledge,verification,12,12,0,-0.414634
claims,verification,12,12,0,-0.714286
claims,knowledge,12,12,0,-0.644444
knowledge,preferable,12,12,0,-0.804878
claims,preferable,12,12,0,-0.428571
claims,institutional,12,12,0,-0.714286
institutional,preferable,12,12,0,-0.333333
authority,preferable,12,12,0,-0.666667
authority,institutional,12,12,0,-0.333333
institutional,requires,12,12,0,-0.985102
authority,requires,12,12,0,-0.970205
authority,careful,12,12,0,-0.969231
artificial,claim,12,12,0,-0.980312
claim,general,12,12,0,-0.986981
artificial,general,12,12,0,-0.529412
artificial,intelligence,12,12,0,-0.466667
general,intelligence,12,12,0,-0.563636
exhibit,general,12,12,0,-0.84
exhibit,intelligence,12,12,0,-0.737705
goal-directed,intelligence,12,12,0,-0.822222
exhibit,goal-directed,12,12,0,-0.6
behavior,exhibit,12,12,0,-0.8
behavior,goal-directed,12,12,0,-0.333333
goal-directed,indistinguishable,12,12,0,-0.666667
behavior,indistinguishable,12,12,0,-0.333333
behavior,intentionality,12,12,0,-0.666667
indistinguishable,intentionality,12,12,0,-0.333333
indistinguishable,requires,12,12,0,-0.985102
intentionality,requires,12,12,0,-0.970205
careful,intentionality,12,12,0,-0.969231
claim,fraction,12,12,0,-0.983949
claim,negatively,12,12,0,-0.993437
fraction,negatively,12,12,0,-0.686275
curved,fraction,12,12,0,-0.866667
curved,negatively,12,12,0,-0.515152
edges,negatively,12,12,0,-0.666667
curved,edges,12,12,0,-0.515152
co-occurrence,curved,12,12,0,-0.757576
co-occurrence,edges,12,12,0,-0.333333
edges,graph,12,12,0,-0.8
co-occurrence,graph,12,12,0,-0.6
co-occurrence,monotonically,12,12,0,-0.666667
graph,monotonically,12,12,0,-0.6
graph,increasing,12,12,0,-0.833333
increasing,monotonically,12,12,0,-0.5
function,monotonically,12,12,0,-0.703704
function,increasing,12,12,0,-0.542857
adversarial,increasing,12,12,0,-0.75
adversarial,function,12,12,0,-0.407407
formatting,function,12,12,0,-0.703704
adversarial,formatting,12,12,0,-0.333333
adversarial,pressure,12,12,0,-0.757576
formatting,pressure,12,12,0,-0.515152
formatting,requires,12,12,0,-0.985102
pressure,requires,12,12,0,-0.970696
careful,pressure,12,12,0,-0.97026
claim,divergence,12,12,0,-0.980312
divergence,model,12,12,0,-0.636364
divergence,families,12,12,0,-0.333333
families,model,12,12,0,-0.636364
claim,families,12,12,0,-0.980312
families,reliable,12,12,0,-0.666667
claim,reliable,12,12,0,-0.986874
claim,signal,12,12,0,-0.98696
reliable,signal,12,12,0,-0.5
consensus,reliable,12,12,0,-0.666667
consensus,signal,12,12,0,-0.5
requires,signal,12,12,0,-0.970642
consensus,requires,12,12,0,-0.970205
careful,consensus,12,12,0,-0.969231
inertial,reference,9,6,3,-0.454545
frame,reference,9,6,3,-0.625
equations,maxwells,9,9,0,-0.612903
speed,vacuum,9,6,3,-0.8
consequence,necessary,9,9,0,-0.882353
propagation,speed,9,9,0,-0.72093
lorentz,transformation,9,6,3,-0.652174
equation,wave,9,6,3,-0.636364
necessary,qualifier,9,9,0,-0.88764
relativity,special,9,6,3,-0.583333
curved,spacetime,9,6,3,-0.783784
field,quantum,9,6,3,-0.831325
quantum,theory,9,9,0,-0.891892
quantum,vacuum,9,6,3,-0.883495
invariance,lorentz,9,6,3,-0.851852
connects,information,9,9,0,-0.956656
conclusion,leads,9,9,0,-0.962264
linking,thereby,9,9,0,-0.72
quantum,violate,9,9,0,-0.887324
mechanics,quantum,9,6,3,-0.82716
capacity,estimate,9,9,0,-0.857143
estimate,millers,9,9,0,-0.757576
estimate,original,9,9,0,-0.827586
long-term,memory,9,6,3,-0.87013
change,detection,9,6,3,-0.384615
capacity,channel,9,6,3,-0.901961
pure,storage,9,6,3,-0.75
information,shannons,9,9,0,-0.852941
leads,working,9,9,0,-0.977528
bridging,thereby,9,9,0,-0.815385
multiple,tracking,9,6,3,-0.970909
leads,prediction,9,9,0,-0.955556
horizon,particle,9,6,3,-0.813953
approximately,mass,9,9,0,-0.859155
determined,ratio,9,9,0,-0.6875
neutron-to-proton,ratio,9,6,3,-0.76
mass,primordial,9,9,0,-0.875
cmb,power,9,6,3,-0.703704
power,spectrum,9,6,3,-0.285714
composition,primordial,9,9,0,-0.7
abundance,helium,9,6,3,-0.82716
iii,population,9,3,6,-0.6
decrease,entropy,9,9,0,-0.903448
entropy,increasing,9,9,0,-0.936306
equals,k_b,9,9,0,-0.636364
k_b,times,9,9,0,-0.698113
entropy,greater,9,9,0,-0.944828
entropy,state,9,9,0,-0.914634
chaos,molecular,9,6,3,-0.833333
poincar,recurrence,9,3,6,-0.764706
recurrence,time,9,3,6,-0.857143
echo,loschmidt,9,3,6,-0.636364
conditions,initial,9,6,3,-0.988722
claim,precise,6,6,0,-0.996719
designates,frame,6,6,0,-0.785714
light,speed,6,6,0,-0.811321
empirical,necessary,6,6,0,-0.979328
electromagnetic,propagation,6,6,0,-0.73913
epsilon_zero,mu_zero,6,6,0,-0.764706
divided,equals,6,6,0,-0.571429
form,mathematical,6,6,0,-0.375
equation,invariance,6,6,0,-0.882353
electrodynamic,theory,6,6,0,-0.890909
boundary,necessary,6,6,0,-0.961102
phase,velocity,6,3,3,-0.764706
logical,structure,6,6,0,-0.875
invariance,vacuum,6,6,0,-0.825
detect,variation,6,6,0,-0.692308
detect,earths,6,6,0,-0.666667
earths,variation,6,6,0,-0.692308
1887,michelson-morley,6,3,3,-0.666667
dilation,time,6,3,3,-0.777778
atomic,particle,6,6,0,-0.888889
atomic,physics,6,6,0,-0.824561
atomic,clock,6,3,3,-0.851852
1932,kennedy-thorndike,6,3,3,-0.666667
direction,preferred,6,6,0,-0.764706
frame,preferred,6,3,3,-0.818182
assumptions,hidden,6,6,0,-0.794872
frame,perfectly,6,6,0,-0.785714
general,relativity,6,3,3,-0.857143
coordinate,speed,6,3,3,-0.842105
field,theory,6,6,0,-0.777778
particle,virtual,6,3,3,-0.846154
casimir,effect,6,3,3,-0.870968
effect,quantum,6,3,3,-0.956044
demonstrates,quantum,6,6,0,-0.905882
high,precision,6,6,0,-0.75
planck,scale,6,3,3,-0.733333
dispersion,relation,6,3,3,-0.333333
lorentz,violation,6,3,3,-0.941176
burst,gamma-ray,6,3,3,-0.333333
causal,structure,6,3,3,-0.973244
separation,spacelike,6,3,3,-0.818182
establishing,thereby,6,6,0,-0.833333
causally,connected,6,6,0,-0.97619
relativistic,structural,6,6,0,-0.909091
connects,theory,6,6,0,-0.949843
maximum,represents,6,6,0,-0.5
computation,quantum,6,6,0,-0.897436
invariance,requirement,6,6,0,-0.863636
causality,quantum,6,6,0,-0.87013
quantum,relativistic,6,3,3,-0.871795
mechanics,relativistic,6,3,3,-0.885714
connects,physics,6,6,0,-0.980456
fine,structure,6,3,3,-0.890909
constant,fine,6,3,3,-0.846154
constant,structure,6,3,3,-0.890411
conclusion,leading,6,6,0,-0.833333
convergence,cross-domain,6,6,0,-0.794872
arrow,thermodynamic,6,0,6,-0.923077
carbon,chemistry,6,0,6,-0.9
holographic,principle,6,0,6,-1.0
careful,claim,6,6,0,-0.987663
memory,short-term,6,6,0,-0.918919
1956,millers,6,6,0,-0.68
capacity,millers,6,6,0,-0.909091
millers,original,6,6,0,-0.571429
chunk,unit,6,6,0,-0.68
claim,means,6,6,0,-0.98888
constant,universal,6,6,0,-0.806452
sketchpad,visuospatial,6,3,3,-0.6
buffer,episodic,6,3,3,-0.6
central,executive,6,3,3,-0.733333
recall,tasks,6,6,0,-0.837838
approximately,capacity,6,6,0,-0.934426
change,paradigms,6,6,0,-0.692308
detection,paradigms,6,6,0,-0.428571
adults,young,6,6,0,-0.384615
absolute,judgment,6,3,3,-0.5
magical,number,6,6,0,-0.813953
channel,number,6,6,0,-0.877551
channel,constraint,6,6,0,-0.914894
capacity,constraint,6,6,0,-0.937008
free,recall,6,3,3,-0.870968
capacity,drops,6,6,0,-0.938776
figure,reflects,6,6,0,-0.6
limit,storage,6,6,0,-0.789474
cortex,prefrontal,6,3,3,-0.636364
activation,working,6,6,0,-0.9375
firing,sustained,6,3,3,-0.8
differences,individual,6,3,3,-0.789474
correlate,memory,6,6,0,-0.922078
capacity,correlate,6,6,0,-0.918367
fluid,intelligence,6,3,3,-0.894737
estimate,suggests,6,6,0,-0.875
individual,resulting,6,6,0,-0.904762
individual,variation,6,3,3,-0.833333
encoding,unit,6,3,3,-0.733333
architectural,genuine,6,6,0,-0.7
constraint,engineering,6,6,0,-0.804878
access,long-term,6,3,3,-0.666667
access,memory,6,3,3,-0.893333
adoption,strategy,6,3,3,-0.333333
crisis,replication,6,3,3,-0.818182
capacity,connects,6,6,0,-0.98338
connects,limit,6,6,0,-0.967427
shannons,theory,6,6,0,-0.84375
interpretation,leads,6,6,0,-0.975535
cognitive,psychology,6,6,0,-0.809524
connection,extends,6,6,0,-0.6
prediction,working,6,6,0,-0.859155
memory,prediction,6,6,0,-0.930233
multiple,object,6,3,3,-0.978022
object,tracking,6,3,3,-0.571429
span,working,6,3,3,-0.935484
memory,span,6,3,3,-0.896104
matter,observable,6,6,0,-0.906977
comoving,distance,6,3,3,-0.333333
distinguished,matter,6,6,0,-0.897436
energy,matter,6,6,0,-0.858824
dark,energy,6,3,3,-0.859155
claim,distinction,6,6,0,-0.993437
claim,necessary,6,6,0,-0.982893
approximately,helium,6,6,0,-0.87013
elements,heavier,6,6,0,-0.666667
follows,necessarily,6,6,0,-0.75
fusion,nuclear,6,6,0,-0.615385
helium-3,helium-4,6,6,0,-0.529412
deuterium,helium-4,6,6,0,-0.666667
deuterium,helium-3,6,6,0,-0.230769
hydrogen-to-helium,ratio,6,6,0,-0.666667
baryon-to-photon,determined,6,6,0,-0.714286
interaction,weak,6,3,3,-0.25
abundance,primordial,6,6,0,-0.786667
helium,observable,6,6,0,-0.916667
composition,observable,6,6,0,-0.805556
composition,universe,6,6,0,-0.864865
abundance,consistent,6,6,0,-0.84
consistent,estimates,6,6,0,-0.833333
abundance,estimates,6,6,0,-0.782609
abundance,spectroscopic,6,3,3,-0.849057
observations,spectroscopic,6,6,0,-0.970037
metal-poor,stars,6,6,0,-0.818182
measurements,provide,6,6,0,-0.833333
helium,measurements,6,6,0,-0.890411
mass,near,6,6,0,-0.836735
fraction,near,6,6,0,-0.787234
fraction,helium,6,6,0,-0.840909
measurements,spectroscopic,6,6,0,-0.767442
bbn,standard,6,6,0,-0.96337
cmb,spectrum,6,3,3,-0.724138
abundances,lithium-7,6,6,0,-0.6
absorption,quasar,6,3,3,-0.571429
planck,satellite,6,3,3,-0.636364
baryon,density,6,3,3,-0.684211
digital,sloan,6,3,3,-0.333333
sky,sloan,6,3,3,-0.555556
digital,sky,6,3,3,-0.2
digital,survey,6,3,3,-0.636364
sky,survey,6,3,3,-0.454545
enrichment,stellar,6,3,3,-0.892857
history,stellar,6,6,0,-0.931034
higher,metallicity,6,6,0,-0.619048
heavy,synthesis,6,6,0,-0.538462
expansion,universe,6,6,0,-0.850746
observable,patch,6,6,0,-0.745455
abundance,measurements,6,6,0,-0.741935
dense,hot,6,6,0,-0.5
energy,ionization,6,3,3,-0.884615
bias,selection,6,3,3,-0.555556
fraction,versus,6,6,0,-0.906977
fraction,number,6,6,0,-0.820513
includes,matter,6,6,0,-0.897436
black,primordial,6,3,3,-0.894737
fraction,matter,6,3,3,-0.923077
lithium,problem,6,3,3,-0.733333
formation,leads,6,6,0,-0.981132
formation,population,6,6,0,-0.583333
population,stars,6,6,0,-0.733333
chain,helium,6,6,0,-0.925926
chain,proton-proton,6,3,3,-0.6
carbon,nitrogen,6,6,0,-0.571429
carbon,oxygen,6,6,0,-0.571429
nitrogen,oxygen,6,6,0,-0.333333
reaction,triple-alpha,6,3,3,-0.6
interstellar,medium,6,3,3,-0.714286
formation,stars,6,6,0,-0.736842
hydrogen-helium,primordial,6,6,0,-0.864407
composition,hydrogen-helium,6,6,0,-0.627907
evolution,stellar,6,3,3,-0.932203
neutrino,species,6,3,3,-0.333333
beyond,standard,6,3,3,-0.972414
beyond,model,6,3,3,-0.931034
jeans,mass,6,3,3,-0.913043
gas,primordial,6,3,3,-0.875
collapse,gravitational,6,3,3,-0.809524
mass,number,6,0,6,-0.875
acoustic,oscillation,6,0,6,-0.818182
acoustic,baryon,6,0,6,-0.6
constraint,neutrino,6,0,6,-0.95
law,thermodynamics,6,3,3,-0.851852
law,statistical,6,6,0,-0.835616
energy,local,6,6,0,-0.925926
decrease,local,6,6,0,-0.5
entropy,local,6,6,0,-0.944056
cost,increasing,6,6,0,-0.777778
entropy,environment,6,6,0,-0.93007
entropy,system,6,6,0,-0.912088
entropy,thermodynamic,6,6,0,-0.888199
equals,times,6,6,0,-0.678571
k_b,lnw,6,3,3,-0.809524
microstates,number,6,6,0,-0.87234
entropy,leads,6,6,0,-0.954442
entropy,increases,6,6,0,-0.93007
combinatorial,microstates,6,6,0,-0.666667
counting,microstates,6,6,0,-0.666667
decreases,entropy,6,6,0,-0.93007
macroscopic,systems,6,6,0,-0.8
boltzmann,h-theorem,6,6,0,-0.466667
requires,stosszahlansatz,6,6,0,-0.984991
assumption,requires,6,6,0,-0.989305
assumption,stosszahlansatz,6,6,0,-0.8
molecular,stosszahlansatz,6,6,0,-0.793103
assumption,molecular,6,6,0,-0.754386
follows,statistical,6,6,0,-0.813953
assumption,statistical,6,3,3,-0.940299
symmetric,time-reversal,6,6,0,-0.619048
mechanics,statistical,6,6,0,-0.811321
flow,heat,6,3,3,-0.75
energy,thermal,6,6,0,-0.878788
entropy,evidence,6,6,0,-0.986696
